"__SERVER","Name","StartMode","State","StartName"
"TONG","AeLookupSvc","Manual","Stopped","localSystem"
"TONG","ALG","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","AppIDSvc","Manual","Stopped","NT Authority\LocalService"
"TONG","Appinfo","Manual","Stopped","LocalSystem"
"TONG","AppMgmt","Manual","Running","LocalSystem"
"TONG","aspnet_state","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","atashost","Auto","Running","LocalSystem"
"TONG","AudioEndpointBuilder","Auto","Running","LocalSystem"
"TONG","AudioSrv","Auto","Running","NT AUTHORITY\LocalService"
"TONG","AxInstSV","Manual","Stopped","LocalSystem"
"TONG","BDESVC","Manual","Stopped","localSystem"
"TONG","BFE","Auto","Running","NT AUTHORITY\LocalService"
"TONG","BITS","Manual","Running","LocalSystem"
"TONG","Browser","Manual","Stopped","LocalSystem"
"TONG","bthserv","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","CertPropSvc","Manual","Running","LocalSystem"
"TONG","clr_optimization_v2.0.50727_32","Disabled","Stopped","LocalSystem"
"TONG","clr_optimization_v2.0.50727_64","Disabled","Stopped","LocalSystem"
"TONG","clr_optimization_v4.0.30319_32","Auto","Stopped","LocalSystem"
"TONG","clr_optimization_v4.0.30319_64","Auto","Stopped","LocalSystem"
"TONG","COMSysApp","Manual","Stopped","LocalSystem"
"TONG","CryptSvc","Auto","Running","NT Authority\NetworkService"
"TONG","CscService","Auto","Running","LocalSystem"
"TONG","DcomLaunch","Auto","Running","LocalSystem"
"TONG","defragsvc","Manual","Stopped","localSystem"
"TONG","Dhcp","Auto","Running","NT Authority\LocalService"
"TONG","Dnscache","Auto","Running","NT AUTHORITY\NetworkService"
"TONG","dot3svc","Manual","Stopped","localSystem"
"TONG","DPS","Auto","Running","NT AUTHORITY\LocalService"
"TONG","EapHost","Manual","Stopped","localSystem"
"TONG","EFS","Auto","Running","LocalSystem"
"TONG","ehRecvr","Manual","Stopped","NT AUTHORITY\networkService"
"TONG","ehSched","Manual","Stopped","NT AUTHORITY\networkService"
"TONG","eventlog","Auto","Running","NT AUTHORITY\LocalService"
"TONG","EventSystem","Auto","Running","NT AUTHORITY\LocalService"
"TONG","Fax","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","fdPHost","Manual","Running","NT AUTHORITY\LocalService"
"TONG","FDResPub","Auto","Running","NT AUTHORITY\LocalService"
"TONG","FontCache","Auto","Running","NT AUTHORITY\LocalService"
"TONG","FontCache3.0.0.0","Manual","Running","NT Authority\LocalService"
"TONG","gpsvc","Auto","Running","LocalSystem"
"TONG","hidserv","Manual","Running","LocalSystem"
"TONG","hkmsvc","Manual","Stopped","localSystem"
"TONG","HomeGroupListener","Manual","Stopped","LocalSystem"
"TONG","HomeGroupProvider","Manual","Running","NT AUTHORITY\LocalService"
"TONG","idsvc","Manual","Stopped","LocalSystem"
"TONG","IISADMIN","Auto","Running","LocalSystem"
"TONG","IKEEXT","Auto","Running","LocalSystem"
"TONG","IPBusEnum","Manual","Stopped","LocalSystem"
"TONG","iphlpsvc","Auto","Running","LocalSystem"
"TONG","KeyIso","Manual","Running","LocalSystem"
"TONG","KtmRm","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","LanmanServer","Auto","Running","LocalSystem"
"TONG","LanmanWorkstation","Auto","Running","NT AUTHORITY\NetworkService"
"TONG","lltdsvc","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","lmhosts","Auto","Running","NT AUTHORITY\LocalService"
"TONG","Mcx2Svc","Disabled","Stopped","NT Authority\LocalService"
"TONG","MMCSS","Auto","Running","LocalSystem"
"TONG","MpsSvc","Manual","Stopped","NT Authority\LocalService"
"TONG","MSDTC","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","MSiSCSI","Manual","Stopped","LocalSystem"
"TONG","msiserver","Manual","Stopped","LocalSystem"
"TONG","napagent","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","Net Driver HPZ12","Auto","Running","NT AUTHORITY\LocalService"
"TONG","Netlogon","Auto","Running","LocalSystem"
"TONG","Netman","Manual","Running","LocalSystem"
"TONG","NetMsmqActivator","Disabled","Stopped","NT AUTHORITY\NetworkService"
"TONG","NetPipeActivator","Disabled","Stopped","NT AUTHORITY\LocalService"
"TONG","netprofm","Manual","Running","NT AUTHORITY\LocalService"
"TONG","NetTcpActivator","Disabled","Stopped","NT AUTHORITY\LocalService"
"TONG","NetTcpPortSharing","Disabled","Stopped","NT AUTHORITY\LocalService"
"TONG","NlaSvc","Auto","Running","NT AUTHORITY\NetworkService"
"TONG","nsi","Auto","Running","NT Authority\LocalService"
"TONG","nvsvc","Auto","Running","LocalSystem"
"TONG","odserv","Manual","Stopped","LocalSystem"
"TONG","OpenVPNService","Manual","Stopped","LocalSystem"
"TONG","ose","Manual","Stopped","LocalSystem"
"TONG","p2pimsvc","Manual","Running","NT AUTHORITY\LocalService"
"TONG","p2psvc","Manual","Running","NT AUTHORITY\LocalService"
"TONG","PcaSvc","Auto","Running","LocalSystem"
"TONG","PeerDistSvc","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","PerfHost","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","pla","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","PlugPlay","Auto","Running","LocalSystem"
"TONG","Pml Driver HPZ12","Auto","Running","NT AUTHORITY\LocalService"
"TONG","PNRPAutoReg","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","PNRPsvc","Manual","Running","NT AUTHORITY\LocalService"
"TONG","PolicyAgent","Manual","Running","NT Authority\NetworkService"
"TONG","Power","Auto","Running","LocalSystem"
"TONG","ProfSvc","Auto","Running","LocalSystem"
"TONG","ProtectedStorage","Manual","Running","LocalSystem"
"TONG","QWAVE","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","RasAuto","Manual","Stopped","localSystem"
"TONG","RasMan","Manual","Running","localSystem"
"TONG","RemoteAccess","Disabled","Stopped","localSystem"
"TONG","RemoteRegistry","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","RpcEptMapper","Auto","Running","NT AUTHORITY\NetworkService"
"TONG","RpcLocator","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","RpcSs","Auto","Running","NT AUTHORITY\NetworkService"
"TONG","SamSs","Auto","Running","LocalSystem"
"TONG","SCardSvr","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","Schedule","Auto","Running","LocalSystem"
"TONG","SCPolicySvc","Manual","Stopped","LocalSystem"
"TONG","SDRSVC","Manual","Stopped","localSystem"
"TONG","seclogon","Auto","Running","LocalSystem"
"TONG","SENS","Auto","Running","LocalSystem"
"TONG","SensrSvc","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","SessionEnv","Manual","Running","localSystem"
"TONG","SharedAccess","Auto","Stopped","LocalSystem"
"TONG","ShellHWDetection","Auto","Running","LocalSystem"
"TONG","SNMPTRAP","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","Spooler","Auto","Running","LocalSystem"
"TONG","sppsvc","Auto","Stopped","NT AUTHORITY\NetworkService"
"TONG","sppuinotify","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","SSDPSRV","Manual","Running","NT AUTHORITY\LocalService"
"TONG","SstpSvc","Manual","Running","NT Authority\LocalService"
"TONG","stisvc","Auto","Running","NT Authority\LocalService"
"TONG","swprv","Manual","Stopped","LocalSystem"
"TONG","SysMain","Auto","Running","LocalSystem"
"TONG","TabletInputService","Manual","Stopped","LocalSystem"
"TONG","TapiSrv","Manual","Running","NT AUTHORITY\NetworkService"
"TONG","TBS","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","TermService","Manual","Running","NT Authority\NetworkService"
"TONG","Themes","Auto","Running","LocalSystem"
"TONG","THREADORDER","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","TrkWks","Auto","Running","LocalSystem"
"TONG","TrustedInstaller","Manual","Stopped","localSystem"
"TONG","UI0Detect","Manual","Stopped","LocalSystem"
"TONG","UmRdpService","Manual","Running","localSystem"
"TONG","upnphost","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","UxSms","Auto","Running","localSystem"
"TONG","VaultSvc","Manual","Stopped","LocalSystem"
"TONG","vds","Manual","Stopped","LocalSystem"
"TONG","VMAuthdService","Auto","Running","LocalSystem"
"TONG","VMnetDHCP","Auto","Running","LocalSystem"
"TONG","VMware NAT Service","Auto","Running","LocalSystem"
"TONG","VMwareHostd","Auto","Running","LocalSystem"
"TONG","VMwareServerWebAccess","Auto","Running","LocalSystem"
"TONG","VSS","Manual","Stopped","LocalSystem"
"TONG","W32Time","Manual","Running","NT AUTHORITY\LocalService"
"TONG","wbengine","Manual","Stopped","localSystem"
"TONG","WbioSrvc","Manual","Stopped","LocalSystem"
"TONG","wcncsvc","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","WcsPlugInService","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","WdiServiceHost","Manual","Running","NT AUTHORITY\LocalService"
"TONG","WdiSystemHost","Manual","Stopped","LocalSystem"
"TONG","WebClient","Manual","Stopped","NT AUTHORITY\LocalService"
"TONG","Wecsvc","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","wercplsupport","Manual","Stopped","localSystem"
"TONG","WerSvc","Manual","Stopped","localSystem"
"TONG","WinDefend","Auto","Running","LocalSystem"
"TONG","WinHttpAutoProxySvc","Manual","Running","NT AUTHORITY\LocalService"
"TONG","Winmgmt","Auto","Running","localSystem"
"TONG","WinRM","Manual","Stopped","NT AUTHORITY\NetworkService"
"TONG","Wlansvc","Manual","Stopped","LocalSystem"
"TONG","wmiApSrv","Manual","Stopped","localSystem"
"TONG","WMPNetworkSvc","Manual","Running","NT AUTHORITY\NetworkService"
"TONG","WPCSvc","Manual","Stopped","NT Authority\LocalService"
"TONG","WPDBusEnum","Manual","Stopped","LocalSystem"
"TONG","wscsvc","Auto","Running","NT AUTHORITY\LocalService"
"TONG","WSearch","Auto","Running","LocalSystem"
"TONG","wuauserv","Auto","Running","LocalSystem"
"TONG","wudfsvc","Auto","Running","LocalSystem"
"TONG","WwanSvc","Manual","Stopped","NT Authority\LocalService"
